goos: darwin
goarch: amd64
pkg: github.com/corestoreio/errors
BenchmarkErrors/pkg/errors-stack-1000-4 	  200000	     10825 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-1000-4 	  200000	     10778 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-1000-4 	  200000	     10828 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-1000-4 	  200000	     10828 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-1000-4 	  200000	     10901 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4825 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4795 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4812 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4795 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4777 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4808 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4802 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4763 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4803 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrors/errors-stack-1000-4     	  300000	      4775 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	github.com/corestoreio/errors	239.794s
